code,code_description,code_type,ccs
0UT90ZZ,"Resection of Uterus, Open Approach",ICD10_PROC,ccs124
0UT94ZZ,"Resection of Uterus, Percutaneous Endoscopic Approach",ICD10_PROC,ccs124
0UT97ZZ,"Resection of Uterus, Via Natural or Artificial Opening",ICD10_PROC,ccs124
0UT98ZZ,"Resection of Uterus, Via Natural or Artificial Opening Endoscopic",ICD10_PROC,ccs124
0UT9FZZ,"Resection of Uterus, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance",ICD10_PROC,ccs124
0UT90ZL,"Resection of Uterus, Supracervical, Open Approach",ICD10_PROC,ccs124
0UT94ZL,"Resection of Uterus, Supracervical, Percutaneous Endoscopic Approach",ICD10_PROC,ccs124
0UT97ZL,"Resection of Uterus, Supracervical, Via Opening",ICD10_PROC,ccs124
0UT98ZL,"Resection of Uterus, Supracervical, Via Natural or Artificial Opening Endoscopic",ICD10_PROC,ccs124
0UT9FZL,"Resection of Uterus, Supracervical, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance",ICD10_PROC,ccs124
51925,Closure of vesicouterine fistula; with hysterectomy,CPT_HCPCS,ccs124
58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);",CPT_HCPCS,ccs124
58152,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s); with colpo-urethrocystopexy (eg, Marshall-Marchetti-Krantz, Burch)",CPT_HCPCS,ccs124
58180,"Supracervical abdominal hysterectomy (subtotal hysterectomy), with or without removal of tube(s), with or without removal of ovary(s)",CPT_HCPCS,ccs124
58200,"Total abdominal hysterectomy, including partial vaginectomy, with para-aortic and pelvic lymph node sampling, with or without removal of tube(s), with or without removal of ovary(s)",CPT_HCPCS,ccs124
58210,"Radical abdominal hysterectomy, with bilateral total pelvic lymphadenectomy and para-aortic lymph node sampling (biopsy), with or without removal of tube(s), with or without removal of ovary(s)",CPT_HCPCS,ccs124
58240,"Pelvic exenteration for gynecologic malignancy, with total abdominal hysterectomy or cervicectomy, with or without removal of tube(s), with or without removal of ovary(s), with removal of bladder and ureteral transplantations, and/or abdominoperineal resection of rectum and colon and colostomy, or any combination thereof",CPT_HCPCS,ccs124
58260,"Vaginal hysterectomy, for uterus 250 g or less;",CPT_HCPCS,ccs124
58262,"Vaginal hysterectomy, for uterus 250 g or less; with removal of tube(s), and/or ovary(s)",CPT_HCPCS,ccs124
58263,"Vaginal hysterectomy, for uterus 250 g or less; with removal of tube(s), and/or ovary(s), with repair of enterocele",CPT_HCPCS,ccs124
58267,"Vaginal hysterectomy, for uterus 250 g or less; with colpo-urethrocystopexy (Marshall-Marchetti-Krantz type, Pereyra type) with or without endoscopic control",CPT_HCPCS,ccs124
58270,"Vaginal hysterectomy, for uterus 250 g or less; with repair of enterocele",CPT_HCPCS,ccs124
58275,"Vaginal hysterectomy, with total or partial vaginectomy;",CPT_HCPCS,ccs124
58280,"Vaginal hysterectomy, with total or partial vaginectomy; with repair of enterocele",CPT_HCPCS,ccs124
58285,"Vaginal hysterectomy, radical (Schauta type operation)",CPT_HCPCS,ccs124
58290,"Vaginal hysterectomy, for uterus greater than 250 g;",CPT_HCPCS,ccs124
58291,"Vaginal hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)",CPT_HCPCS,ccs124
58292,"Vaginal hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s), with repair of enterocele",CPT_HCPCS,ccs124
58294,"Vaginal hysterectomy, for uterus greater than 250 g; with repair of enterocele",CPT_HCPCS,ccs124
58541,"Laparoscopy, surgical, supracervical hysterectomy, for uterus 250 g or less;",CPT_HCPCS,ccs124
58542,"Laparoscopy, surgical, supracervical hysterectomy, for uterus 250 g or less; with removal of tube(s) and/or ovary(s)",CPT_HCPCS,ccs124
58543,"Laparoscopy, surgical, supracervical hysterectomy, for uterus greater than 250 g;",CPT_HCPCS,ccs124
58544,"Laparoscopy, surgical, supracervical hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)",CPT_HCPCS,ccs124
58548,"Laparoscopy, surgical, with radical hysterectomy, with bilateral total pelvic lymphadenectomy and para-aortic lymph node sampling (biopsy), with removal of tube(s) and ovary(s), if performed",CPT_HCPCS,ccs124
58550,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus 250 g or less;",CPT_HCPCS,ccs124
58552,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus 250 g or less; with removal of tube(s) and/or ovary(s)",CPT_HCPCS,ccs124
58553,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus greater than 250 g;",CPT_HCPCS,ccs124
