code,code_description,code_type,ccs
0SRC07Z,"Replacement of Right Knee Joint with Autologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRC0J9,"Replacement of Right Knee Joint with Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRC0JA,"Replacement of Right Knee Joint with Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRC0JZ,"Replacement of Right Knee Joint with Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRC0KZ,"Replacement of Right Knee Joint with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRC0L9,"Replacement of Right Knee Joint with Medial Unicondylar Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRC0LA,"Replacement of Right Knee Joint with Medial Unicondylar Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRC0LZ,"Replacement of Right Knee Joint with Medial Unicondylar Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRD07Z,"Replacement of Left Knee Joint with Autologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRD0J9,"Replacement of Left Knee Joint with Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRD0JA,"Replacement of Left Knee Joint with Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRD0JZ,"Replacement of Left Knee Joint with Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRD0KZ,"Replacement of Left Knee Joint with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRD0L9,"Replacement of Left Knee Joint with Medial Unicondylar Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRD0LA,"Replacement of Left Knee Joint with Medial Unicondylar Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRD0LZ,"Replacement of Left Knee Joint with Medial Unicondylar Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRT07Z,"Replacement of Right Knee Joint, Femoral Surface with Autologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRT0J9,"Replacement of Right Knee Joint, Femoral Surface with Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRT0JA,"Replacement of Right Knee Joint, Femoral Surface with Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRT0JZ,"Replacement of Right Knee Joint, Femoral Surface with Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRT0KZ,"Replacement of Right Knee Joint, Femoral Surface with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRU07Z,"Replacement of Left Knee Joint, Femoral Surface with Autologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRU0J9,"Replacement of Left Knee Joint, Femoral Surface with Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRU0JA,"Replacement of Left Knee Joint, Femoral Surface with Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRU0JZ,"Replacement of Left Knee Joint, Femoral Surface with Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRU0KZ,"Replacement of Left Knee Joint, Femoral Surface with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRV07Z,"Replacement of Right Knee Joint, Tibial Surface with Autologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRV0J9,"Replacement of Right Knee Joint, Tibial Surface with Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRV0JA,"Replacement of Right Knee Joint, Tibial Surface with Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRV0JZ,"Replacement of Right Knee Joint, Tibial Surface with Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRV0KZ,"Replacement of Right Knee Joint, Tibial Surface with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRW07Z,"Replacement of Left Knee Joint, Tibial Surface with Autologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SRW0J9,"Replacement of Left Knee Joint, Tibial Surface with Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRW0JA,"Replacement of Left Knee Joint, Tibial Surface with Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRW0JZ,"Replacement of Left Knee Joint, Tibial Surface with Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRW0KZ,"Replacement of Left Knee Joint, Tibial Surface with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SUC07Z,"Supplement Right Knee Joint with Autologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SUC09C,"Supplement Right Knee Joint with Liner, Patellar Surface, Open Approach",ICD10_PROC,ccs152
0SUC09Z,"Supplement Right Knee Joint with Liner, Open Approach",ICD10_PROC,ccs152
0SUC0JZ,"Supplement Right Knee Joint with Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SUC0KZ,"Supplement Right Knee Joint with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SUC37Z,"Supplement Right Knee Joint with Autologous Tissue Substitute, Percutaneous Approach",ICD10_PROC,ccs152
0SUC3JZ,"Supplement Right Knee Joint with Synthetic Substitute, Percutaneous Approach",ICD10_PROC,ccs152
0SUC3KZ,"Supplement Right Knee Joint with Nonautologous Tissue Substitute, Percutaneous Approach",ICD10_PROC,ccs152
0SUC47Z,"Supplement Right Knee Joint with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs152
0SUC4JZ,"Supplement Right Knee Joint with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs152
0SUC4KZ,"Supplement Right Knee Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs152
0SUD07Z,"Supplement Left Knee Joint with Autologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SUD09C,"Supplement Left Knee Joint with Liner, Patellar Surface, Open Approach",ICD10_PROC,ccs152
0SUD09Z,"Supplement Left Knee Joint with Liner, Open Approach",ICD10_PROC,ccs152
0SUD0JZ,"Supplement Left Knee Joint with Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SUD0KZ,"Supplement Left Knee Joint with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs152
0SUD37Z,"Supplement Left Knee Joint with Autologous Tissue Substitute, Percutaneous Approach",ICD10_PROC,ccs152
0SUD3JZ,"Supplement Left Knee Joint with Synthetic Substitute, Percutaneous Approach",ICD10_PROC,ccs152
0SUD3KZ,"Supplement Left Knee Joint with Nonautologous Tissue Substitute, Percutaneous Approach",ICD10_PROC,ccs152
0SUD47Z,"Supplement Left Knee Joint with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs152
0SUD4JZ,"Supplement Left Knee Joint with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs152
0SUD4KZ,"Supplement Left Knee Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs152
0SUT09Z,"Supplement Right Knee Joint, Femoral Surface with Liner, Open Approach",ICD10_PROC,ccs152
0SUU09Z,"Supplement Left Knee Joint, Femoral Surface with Liner, Open Approach",ICD10_PROC,ccs152
0SUV09Z,"Supplement Right Knee Joint, Tibial Surface with Liner, Open Approach",ICD10_PROC,ccs152
0SUW09Z,"Supplement Left Knee Joint, Tibial Surface with Liner, Open Approach",ICD10_PROC,ccs152
0SRC069,"Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRC06A,"Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRC06Z,"Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRC0EZ,"Replacement of Right Knee Joint with Articulating Spacer, Open Approach",ICD10_PROC,ccs152
0SRC0M9,"Replacement of Right Knee Joint with Lateral Unicondylar Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRC0MA,"Replacement of Right Knee Joint with Lateral Unicondylar Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRC0MZ,"Replacement of Right Knee Joint with Lateral Unicondylar Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRC0N9,"Replacement of Right Knee Joint with Patellofemoral Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRC0NA,"Replacement of Right Knee Joint with Patellofemoral Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRC0NZ,"Replacement of Right Knee Joint with Patellofemoral Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRD069,"Replacement of Left Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach",ICD10_PROC,ccs152
0SRD06A,"Replacement of Left Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach",ICD10_PROC,ccs152
0SRD06Z,"Replacement of Left Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach",ICD10_PROC,ccs152
0SRD0EZ,"Replacement of Left Knee Joint with Articulating Spacer, Open Approach",ICD10_PROC,ccs152
