code,code_description,code_type,ccs
0RR007Z,Replacement of Occip Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RR00JZ,Replacement of Occip Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RR00KZ,Replacement of Occip Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RR107Z,Replacement of Cerv Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RR10JZ,Replacement of Cerv Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RR10KZ,Replacement of Cerv Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RR307Z,Replacement of Cerv Disc with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RR30JZ,Replacement of Cerv Disc with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RR30KZ,Replacement of Cerv Disc with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RR407Z,Replacement of C-thor Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RR40JZ,Replacement of C-thor Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RR40KZ,Replacement of C-thor Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RR507Z,Replacement of C-thor Disc with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RR50JZ,Replacement of C-thor Disc with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RR50KZ,Replacement of C-thor Disc with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RR607Z,Replacement of Thor Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RR60JZ,Replacement of Thor Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RR60KZ,Replacement of Thor Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RR907Z,Replacement of Thor Disc with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RR90JZ,Replacement of Thor Disc with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RR90KZ,Replacement of Thor Disc with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRA07Z,Replacement of T-lum Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRA0JZ,Replacement of T-lum Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRA0KZ,Replacement of T-lum Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRB07Z,Replacement of T-lum Disc with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRB0JZ,Replacement of T-lum Disc with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRB0KZ,Replacement of T-lum Disc with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRC07Z,Replace of R Temporomandib Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRC0JZ,Replace of R Temporomandib Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRC0KZ,Replace of R Temporomandib Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRD07Z,Replace of L Temporomandib Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRD0JZ,Replace of L Temporomandib Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRD0KZ,Replace of L Temporomandib Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRE07Z,Replacement of R Sternoclav Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRE0JZ,Replacement of R Sternoclav Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRE0KZ,Replace of R Sternoclav Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRF07Z,Replacement of L Sternoclav Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRF0JZ,Replacement of L Sternoclav Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRF0KZ,Replace of L Sternoclav Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRG07Z,Replace of R Acromioclav Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRG0JZ,Replace of R Acromioclav Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRG0KZ,Replace of R Acromioclav Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRH07Z,Replace of L Acromioclav Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRH0JZ,Replace of L Acromioclav Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRH0KZ,Replace of L Acromioclav Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRJ00Z,Replace of R Shoulder Jt with Rev Bl & Sockt - Open Approach,ICD10_PROC,ccs154
0RRJ07Z,Replacement of R Shoulder Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRJ0J6,Replace R Shoulder Jt w Synth Sub - Humeral - Open,ICD10_PROC,ccs154
0RRJ0J7,Replace R Shoulder Jt w Synth Sub - Glenoid - Open,ICD10_PROC,ccs154
0RRJ0JZ,Replacement of R Shoulder Jt with Synth Sub - Open Approach,ICD10_PROC,ccs154
0RRJ0KZ,Replacement of R Shoulder Jt with Nonaut Sub - Open Approach,ICD10_PROC,ccs154
0RRK00Z,Replace of L Shoulder Jt with Rev Bl & Sockt - Open Approach,ICD10_PROC,ccs154
0RRK07Z,Replacement of L Shoulder Jt with Autol Sub - Open Approach,ICD10_PROC,ccs154
0RRK0J6,Replace L Shoulder Jt w Synth Sub - Humeral - Open,ICD10_PROC,ccs154
