code,code_description,code_type,ccs
210083,Bypass 1 Cor Art from Cor Art with Zooplastic - Open Approach,ICD10_PROC,ccs44
210088,Bypass 1 Cor Art from R Int Mammary w Zooplastic - Open,ICD10_PROC,ccs44
210089,Bypass 1 Cor Art from L Int Mammary w Zooplastic - Open,ICD10_PROC,ccs44
021008C,Bypass 1 Cor Art from Thor Art w Zooplastic - Open,ICD10_PROC,ccs44
021008F,Bypass 1 Cor Art from Abd Art with Zooplastic - Open Approach,ICD10_PROC,ccs44
021008W,Bypass 1 Cor Art from Aorta with Zooplastic - Open Approach,ICD10_PROC,ccs44
210093,Bypass 1 Cor Art from Cor Art with Autol Vn - Open Approach,ICD10_PROC,ccs44
210098,Bypass 1 Cor Art from R Int Mammary w Autol Vn - Open,ICD10_PROC,ccs44
210099,Bypass 1 Cor Art from L Int Mammary w Autol Vn - Open,ICD10_PROC,ccs44
021009C,Bypass 1 Cor Art from Thor Art with Autol Vn - Open Approach,ICD10_PROC,ccs44
021009F,Bypass 1 Cor Art from Abd Art with Autol Vn - Open Approach,ICD10_PROC,ccs44
021009W,Bypass 1 Cor Art from Aorta with Autol Vn - Open Approach,ICD10_PROC,ccs44
02100A3,Bypass 1 Cor Art from Cor Art with Autol Art - Open Approach,ICD10_PROC,ccs44
02100A8,Bypass 1 Cor Art from R Int Mammary w Autol Art - Open,ICD10_PROC,ccs44
02100A9,Bypass 1 Cor Art from L Int Mammary w Autol Art - Open,ICD10_PROC,ccs44
02100AC,Bypass 1 Cor Art from Thor Art with Autol Art - Open Approach,ICD10_PROC,ccs44
02100AF,Bypass 1 Cor Art from Abd Art with Autol Art - Open Approach,ICD10_PROC,ccs44
02100AW,Bypass 1 Cor Art from Aorta with Autol Art - Open Approach,ICD10_PROC,ccs44
02100J3,Bypass 1 Cor Art from Cor Art with Synth Sub - Open Approach,ICD10_PROC,ccs44
02100J8,Bypass 1 Cor Art from R Int Mammary w Synth Sub - Open,ICD10_PROC,ccs44
02100J9,Bypass 1 Cor Art from L Int Mammary w Synth Sub - Open,ICD10_PROC,ccs44
02100JC,Bypass 1 Cor Art from Thor Art with Synth Sub - Open Approach,ICD10_PROC,ccs44
02100JF,Bypass 1 Cor Art from Abd Art with Synth Sub - Open Approach,ICD10_PROC,ccs44
02100JW,Bypass 1 Cor Art from Aorta with Synth Sub - Open Approach,ICD10_PROC,ccs44
02100K3,Bypass 1 Cor Art from Cor Art with Nonaut Sub - Open Approach,ICD10_PROC,ccs44
