code,code_description,code_type,ccs
0270346,"Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach",ICD10_PROC,ccs45
027034Z,"Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach",ICD10_PROC,ccs45
0270356,"Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
027035Z,"Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
0270366,"Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
027036Z,"Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
0270376,"Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
027037Z,"Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
02703D6,"Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach",ICD10_PROC,ccs45
02703DZ,"Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Approach",ICD10_PROC,ccs45
02703EZ,"Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
02703F6,"Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
02703FZ,"Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
02703G6,"Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
02703GZ,"Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Percutaneous Approach",ICD10_PROC,ccs45
02703T6,"Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach",ICD10_PROC,ccs45
02703TZ,"Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Percutaneous Approach",ICD10_PROC,ccs45
02703Z6,"Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Approach",ICD10_PROC,ccs45
02703ZZ,"Dilation of Coronary Artery, One Artery, Percutaneous Approach",ICD10_PROC,ccs45
0270446,"Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
027044Z,"Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
0270456,"Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
027045Z,"Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
0270466,"Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
027046Z,"Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
0270476,"Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
027047Z,"Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
02704D6,"Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
02704DZ,"Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
02704EZ,"Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
02704F6,"Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
02704FZ,"Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
02704G6,"Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
02704GZ,"Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach",ICD10_PROC,ccs45
