code,code_description,code_type,ccs
02H40JZ,"Insertion of Pacemaker Lead into Coronary Vein, Open Approach",ICD10_PROC,ccs48
02H40KZ,"Insertion of Defibrillator Lead into Coronary Vein, Open Approach",ICD10_PROC,ccs48
02H40MZ,"Insertion of Cardiac Lead into Coronary Vein, Open Approach",ICD10_PROC,ccs48
02H40NZ,"Insertion of Intracardiac Pacemaker into Coronary Vein, Open Approach",ICD10_PROC,ccs48
02H43JZ,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Approach",ICD10_PROC,ccs48
02H43KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach",ICD10_PROC,ccs48
02H43MZ,"Insertion of Cardiac Lead into Coronary Vein, Percutaneous Approach",ICD10_PROC,ccs48
02H43NZ,"Insertion of Intracardiac Pacemaker into Coronary Vein, Percutaneous Approach",ICD10_PROC,ccs48
02H44JZ,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H44KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H44MZ,"Insertion of Cardiac Lead into Coronary Vein, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H44NZ,"Insertion of Intracardiac Pacemaker into Coronary Vein, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H60JZ,"Insertion of Pacemaker Lead into Right Atrium, Open Approach",ICD10_PROC,ccs48
02H60KZ,"Insertion of Defibrillator Lead into Right Atrium, Open Approach",ICD10_PROC,ccs48
02H60MZ,"Insertion of Cardiac Lead into Right Atrium, Open Approach",ICD10_PROC,ccs48
02H60NZ,"Insertion of Intracardiac Pacemaker into Right Atrium, Open Approach",ICD10_PROC,ccs48
02H63JZ,"Insertion of Pacemaker Lead into Right Atrium, Percutaneous Approach",ICD10_PROC,ccs48
02H63KZ,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Approach",ICD10_PROC,ccs48
02H63MZ,"Insertion of Cardiac Lead into Right Atrium, Percutaneous Approach",ICD10_PROC,ccs48
02H63NZ,"Insertion of Intracardiac Pacemaker into Right Atrium, Percutaneous Approach",ICD10_PROC,ccs48
02H64JZ,"Insertion of Pacemaker Lead into Right Atrium, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H64KZ,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H64MZ,"Insertion of Cardiac Lead into Right Atrium, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H64NZ,"Insertion of Intracardiac Pacemaker into Right Atrium, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H70JZ,"Insertion of Pacemaker Lead into Left Atrium, Open Approach",ICD10_PROC,ccs48
02H70KZ,"Insertion of Defibrillator Lead into Left Atrium, Open Approach",ICD10_PROC,ccs48
02H70MZ,"Insertion of Cardiac Lead into Left Atrium, Open Approach",ICD10_PROC,ccs48
02H70NZ,"Insertion of Intracardiac Pacemaker into Left Atrium, Open Approach",ICD10_PROC,ccs48
02H73JZ,"Insertion of Pacemaker Lead into Left Atrium, Percutaneous Approach",ICD10_PROC,ccs48
02H73KZ,"Insertion of Defibrillator Lead into Left Atrium, Percutaneous Approach",ICD10_PROC,ccs48
02H73MZ,"Insertion of Cardiac Lead into Left Atrium, Percutaneous Approach",ICD10_PROC,ccs48
02H73NZ,"Insertion of Intracardiac Pacemaker into Left Atrium, Percutaneous Approach",ICD10_PROC,ccs48
02H74JZ,"Insertion of Pacemaker Lead into Left Atrium, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H74KZ,"Insertion of Defibrillator Lead into Left Atrium, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H74MZ,"Insertion of Cardiac Lead into Left Atrium, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
02H74NZ,"Insertion of Intracardiac Pacemaker into Left Atrium, Percutaneous Endoscopic Approach",ICD10_PROC,ccs48
