code,code_description,code_type,ccs
03CG0Z6,Extirpate matter from Intracran Art - Bifurc - Open,ICD10_PROC,
03CG0ZZ,Extirpation of Matter from Intracran Art - Open Approach,ICD10_PROC,
03CG3Z6,Extirpate matter from Intracran Art - Bifurc - Perc,ICD10_PROC,
03CG3ZZ,Extirpation of Matter from Intracran Art - Perc Approach,ICD10_PROC,
03CG4Z6,Extirpate matter from Intracran Art - Bifurc - Perc Endo,ICD10_PROC,
03CG4ZZ,Extirpation of Matter from Intracran Art - Perc Endo Approach,ICD10_PROC,
03CH0Z6,Extirpate matter from R Com Carotid - Bifurc - Open,ICD10_PROC,
03CH0ZZ,Extirpation of Matter from R Com Carotid - Open Approach,ICD10_PROC,
03CH3Z6,Extirpate matter from R Com Carotid - Bifurc - Perc,ICD10_PROC,
03CH3ZZ,Extirpation of Matter from R Com Carotid - Perc Approach,ICD10_PROC,
03CH4Z6,Extirpate matter from R Com Carotid - Bifurc - Perc Endo,ICD10_PROC,
03CH4ZZ,Extirpation of Matter from R Com Carotid - Perc Endo Approach,ICD10_PROC,
03CJ0Z6,Extirpate matter from L Com Carotid - Bifurc - Open,ICD10_PROC,
03CJ0ZZ,Extirpation of Matter from L Com Carotid - Open Approach,ICD10_PROC,
03CJ3Z6,Extirpate matter from L Com Carotid - Bifurc - Perc,ICD10_PROC,
03CJ3ZZ,Extirpation of Matter from L Com Carotid - Perc Approach,ICD10_PROC,
03CJ4Z6,Extirpate matter from L Com Carotid - Bifurc - Perc Endo,ICD10_PROC,
03CJ4ZZ,Extirpation of Matter from L Com Carotid - Perc Endo Approach,ICD10_PROC,
03CK0Z6,Extirpate matter from R Int Carotid - Bifurc - Open,ICD10_PROC,
03CK0ZZ,Extirpation of Matter from R Int Carotid - Open Approach,ICD10_PROC,
03CK3Z6,Extirpate matter from R Int Carotid - Bifurc - Perc,ICD10_PROC,
03CK3ZZ,Extirpation of Matter from R Int Carotid - Perc Approach,ICD10_PROC,
03CK4Z6,Extirpate matter from R Int Carotid - Bifurc - Perc Endo,ICD10_PROC,
03CK4ZZ,Extirpation of Matter from R Int Carotid - Perc Endo Approach,ICD10_PROC,
03CL0Z6,Extirpate matter from L Int Carotid - Bifurc - Open,ICD10_PROC,
03CL0ZZ,Extirpation of Matter from L Int Carotid - Open Approach,ICD10_PROC,
03CL3Z6,Extirpate matter from L Int Carotid - Bifurc - Perc,ICD10_PROC,
03CL3ZZ,Extirpation of Matter from L Int Carotid - Perc Approach,ICD10_PROC,
03CL4Z6,Extirpate matter from L Int Carotid - Bifurc - Perc Endo,ICD10_PROC,
03CL4ZZ,Extirpation of Matter from L Int Carotid - Perc Endo Approach,ICD10_PROC,
03CM0Z6,Extirpate matter from R Ext Carotid - Bifurc - Open,ICD10_PROC,
03CM0ZZ,Extirpation of Matter from R Ext Carotid - Open Approach,ICD10_PROC,
03CM3Z6,Extirpate matter from R Ext Carotid - Bifurc - Perc,ICD10_PROC,
03CM3ZZ,Extirpation of Matter from R Ext Carotid - Perc Approach,ICD10_PROC,
03CM4Z6,Extirpate matter from R Ext Carotid - Bifurc - Perc Endo,ICD10_PROC,
03CM4ZZ,Extirpation of Matter from R Ext Carotid - Perc Endo Approach,ICD10_PROC,
03CN0Z6,Extirpate matter from L Ext Carotid - Bifurc - Open,ICD10_PROC,
03CN0ZZ,Extirpation of Matter from L Ext Carotid - Open Approach,ICD10_PROC,
03CN3Z6,Extirpate matter from L Ext Carotid - Bifurc - Perc,ICD10_PROC,
03CN3ZZ,Extirpation of Matter from L Ext Carotid - Perc Approach,ICD10_PROC,
03CN4Z6,Extirpate matter from L Ext Carotid - Bifurc - Perc Endo,ICD10_PROC,
03CN4ZZ,Extirpation of Matter from L Ext Carotid - Perc Endo Approach,ICD10_PROC,
03CP0Z6,Extirpate of Matter from R Verteb Art - Bifurc - Open Approach,ICD10_PROC,
03CP0ZZ,Extirpation of Matter from R Verteb Art - Open Approach,ICD10_PROC,
03CP3Z6,Extirpate of Matter from R Verteb Art - Bifurc - Perc Approach,ICD10_PROC,
03CP3ZZ,Extirpation of Matter from R Verteb Art - Perc Approach,ICD10_PROC,
03CP4Z6,Extirpate matter from R Verteb Art - Bifurc - Perc Endo,ICD10_PROC,
03CP4ZZ,Extirpation of Matter from R Verteb Art - Perc Endo Approach,ICD10_PROC,
03CQ0Z6,Extirpate of Matter from L Verteb Art - Bifurc - Open Approach,ICD10_PROC,
03CQ0ZZ,Extirpation of Matter from L Verteb Art - Open Approach,ICD10_PROC,
03CQ3Z6,Extirpate of Matter from L Verteb Art - Bifurc - Perc Approach,ICD10_PROC,
03CQ3ZZ,Extirpation of Matter from L Verteb Art - Perc Approach,ICD10_PROC,
03CQ4Z6,Extirpate matter from L Verteb Art - Bifurc - Perc Endo,ICD10_PROC,
03CQ4ZZ,Extirpation of Matter from L Verteb Art - Perc Endo Approach,ICD10_PROC,
03CR0Z6,Extirpation of Matter from Face Art - Bifurc - Open Approach,ICD10_PROC,
03CR0ZZ,Extirpation of Matter from Face Artery - Open Approach,ICD10_PROC,
03CR3Z6,Extirpation of Matter from Face Art - Bifurc - Perc Approach,ICD10_PROC,
03CR3ZZ,Extirpation of Matter from Face Artery - Perc Approach,ICD10_PROC,
03CR4Z6,Extirpate matter from Face Art - Bifurc - Perc Endo,ICD10_PROC,
03CR4ZZ,Extirpation of Matter from Face Artery - Perc Endo Approach,ICD10_PROC,
03CS0Z6,Extirpate matter from R Temporal Art - Bifurc - Open,ICD10_PROC,
03CS0ZZ,Extirpation of Matter from R Temporal Art - Open Approach,ICD10_PROC,
03CS3Z6,Extirpate matter from R Temporal Art - Bifurc - Perc,ICD10_PROC,
03CS3ZZ,Extirpation of Matter from R Temporal Art - Perc Approach,ICD10_PROC,
03CS4Z6,Extirpate matter from R Temporal Art - Bifurc - Perc Endo,ICD10_PROC,
03CS4ZZ,Extirpate of Matter from R Temporal Art - Perc Endo Approach,ICD10_PROC,
03CT0Z6,Extirpate matter from L Temporal Art - Bifurc - Open,ICD10_PROC,
03CT0ZZ,Extirpation of Matter from L Temporal Art - Open Approach,ICD10_PROC,
03CT3Z6,Extirpate matter from L Temporal Art - Bifurc - Perc,ICD10_PROC,
03CT3ZZ,Extirpation of Matter from L Temporal Art - Perc Approach,ICD10_PROC,
03CT4Z6,Extirpate matter from L Temporal Art - Bifurc - Perc Endo,ICD10_PROC,
03CT4ZZ,Extirpate of Matter from L Temporal Art - Perc Endo Approach,ICD10_PROC,
03CU0Z6,Extirpate matter from R Thyroid Art - Bifurc - Open,ICD10_PROC,
03CU0ZZ,Extirpation of Matter from R Thyroid Art - Open Approach,ICD10_PROC,
03CU3Z6,Extirpate matter from R Thyroid Art - Bifurc - Perc,ICD10_PROC,
03CU3ZZ,Extirpation of Matter from R Thyroid Art - Perc Approach,ICD10_PROC,
03CU4Z6,Extirpate matter from R Thyroid Art - Bifurc - Perc Endo,ICD10_PROC,
03CU4ZZ,Extirpation of Matter from R Thyroid Art - Perc Endo Approach,ICD10_PROC,
03CV0Z6,Extirpate matter from L Thyroid Art - Bifurc - Open,ICD10_PROC,
