code,code_description,code_type,cms_opps_inpatient_list,ccs
3811,ENDARTERECTOMY - INTRACRANIAL VESSELS,ICD9,,ccs51thru61
3812,ENDARTERECTOMY - OTHER VESSELS OF HEAD AND NECK,ICD9,,ccs51thru61
0061,PERCUTANEOUS ANGIOPLASTY OF EXTRACRANIAL VESSEL(S),ICD9,,ccs51thru61
0062,PERCUTANEOUS ANGIOPLASTY OF INTRACRANIAL VESSEL(S),ICD9,,ccs51thru61
0063,PERCUTANEOUS INSERTION OF CAROTID ARTERY STENT(S),ICD9,,ccs51thru61
0064,PERCUTANEOUS INSERTION OF OTHER EXTRACRANIAL ARTERY STENT(S),ICD9,,ccs51thru61
0065,PERCUTANEOUS INSERTION OF INTRACRANIAL VASCULAR STENT(S),ICD9,,ccs51thru61
1753,PERCUTANEOUS ATHERECTOMY OF EXTRACRANIAL VESSEL(S),ICD9,,ccs51thru61
1754,PERCUTANEOUS ATHERECTOMY OF INTRACRANIAL VESSEL(S),ICD9,,ccs51thru61
3801,INCISION OF VESSEL - INTRACRANIAL VESSELS,ICD9,,ccs51thru61
3802,INCISION OF VESSEL - OTHER VESSELS OF HEAD AND NECK,ICD9,,ccs51thru61
3831,RESECTION OF VESSEL WITH ANASTOMOSIS - INTRACRANIAL VESSELS,ICD9,,ccs51thru61
3832,RESECTION OF VESSEL WITH ANASTOMOSIS - OTHER VESSELS OF HEAD AND NECK,ICD9,,ccs51thru61
3841,RESECTION OF VESSEL WITH REPLACEMENT - INTRACRANIAL VESSELS,ICD9,,ccs51thru61
3842,RESECTION OF VESSEL WITH REPLACEMENT - OTHER VESSELS OF HEAD AND NECK,ICD9,,ccs51thru61
3851,LIGATION AND STRIPPING OF VARICOSE VEINS - INTRACRANIAL VESSELS,ICD9,,ccs51thru61
3852,LIGATION AND STRIPPING OF VARICOSE VEINS - OTHER VESSELS OF HEAD AND NECK,ICD9,,ccs51thru61
3861,OTHER EXCISION OF VESSELS - INTRACRANIAL VESSELS,ICD9,,ccs51thru61
3862,OTHER EXCISION OF VESSELS - OTHER VESSELS OF HEAD AND NECK,ICD9,,ccs51thru61
3881,OTHER SURGICAL OCCLUSION OF VESSELS - INTRACRANIAL VESSELS,ICD9,,ccs51thru61
3882,OTHER SURGICAL OCCLUSION OF VESSELS - OTHER VESSELS OF HEAD AND NECK,ICD9,,ccs51thru61
3972,ENDOVASCULAR (TOTAL) EMBOLIZATION OR OCCLUSION OF HEAD AND NECK VESSELS,ICD9,,ccs51thru61
3974,ENDOVASCULAR REMOVAL OF OBSTRUCTION FROM HEAD AND NECK VESSEL(S),ICD9,,ccs51thru61
3975,ENDOVASCULAR EMBOLIZATION OR OCCLUSION OF VESSEL(S) OF HEAD OR NECK USING BARE COILS,ICD9,,ccs51thru61
3976,ENDOVASCULAR EMBOLIZATION OR OCCLUSION OF VESSEL(S) OF HEAD OR NECK USING BIOACTIVE COILS,ICD9,,ccs51thru61
3981,IMPLANTATION OR REPLACEMENT OF CAROTID SINUS STIMULATION DEVICE - TOTAL SYSTEM,ICD9,,ccs51thru61
3982,IMPLANTATION OR REPLACEMENT OF CAROTID SINUS STIMULATION LEAD(S) ONLY,ICD9,,ccs51thru61
3983,IMPLANTATION OR REPLACEMENT OF CAROTID SINUS STIMULATION PULSE GENERATOR ONLY,ICD9,,ccs51thru61
3984,REVISION OF CAROTID SINUS STIMULATION LEAD(S) ONLY,ICD9,,ccs51thru61
3985,REVISION OF CAROTID SINUS STIMULATION PULSE GENERATOR,ICD9,,ccs51thru61
3986,REMOVAL OF CAROTID SINUS STIMULATION DEVICE - TOTAL SYSTEM,ICD9,,ccs51thru61
3987,REMOVAL OF CAROTID SINUS STIMULATION LEAD(S) ONLY,ICD9,,ccs51thru61
3988,REMOVAL OF CAROTID SINUS STIMULATION PULSE GENERATOR ONLY,ICD9,,ccs51thru61
3989,OTHER OPERATIONS ON CAROTID BODY - CAROTID SINUS AND OTHER VASCULAR BODIES,ICD9,,ccs51thru61
3925,AORTA-ILIAC-FEMORAL BYPASS,ICD9,,ccs51thru61
3929,OTHER (PERIPHERAL) VASCULAR SHUNT OR BYPASS,ICD9,,ccs51thru61
40,PROCEDURE ON SINGLE VESSEL,ICD9,,ccs51thru61
41,PROCEDURE ON TWO VESSELS,ICD9,,ccs51thru61
42,PROCEDURE ON THREE VESSELS,ICD9,,ccs51thru61
43,PROCEDURE ON FOUR OR MORE VESSELS,ICD9,,ccs51thru61
44,PROCEDURE ON VESSEL BIFURCATION,ICD9,,ccs51thru61
45,INSERTION OF ONE VASCULAR STENT,ICD9,,ccs51thru61
46,INSERTION OF TWO VASCULAR STENTS,ICD9,,ccs51thru61
47,INSERTION OF THREE VASCULAR STENTS,ICD9,,ccs51thru61
48,INSERTION OF FOUR OR MORE VASCULAR STENTS,ICD9,,ccs51thru61
55,INSERTION OF DRUG-ELUTING STENT(S) OF OTHER PERIPHERAL VESSEL(S),ICD9,,ccs51thru61
1756,ATHERECTOMY OF OTHER NON-CORONARY VESSEL(S),ICD9,,ccs51thru61
1771,NON-CORONARY INTRA-OPERATIVE FLUORESCENCE VASCULAR ANGIOGRAPHY [IFVA],ICD9,,ccs51thru61
3800,INCISION OF VESSEL - UNSPECIFIED SITE,ICD9,,ccs51thru61
3803,INCISION OF VESSEL - UPPER LIMB VESSELS,ICD9,,ccs51thru61
3804,INCISION OF VESSEL - AORTA,ICD9,,ccs51thru61
3805,INCISION OF VESSEL - OTHER THORACIC VESSELS,ICD9,,ccs51thru61
3806,INCISION OF VESSEL - ABDOMINAL ARTERIES,ICD9,,ccs51thru61
