code,code_description,code_type,ccs
312090,"Bypass Innom Art to R Up Arm Art w Autol Vn, Open",ICD10_PROC,
312091,"Bypass Innom Art to L Up Arm Art w Autol Vn, Open",ICD10_PROC,
312092,"Bypass Innom Art to Bi Up Arm Art w Autol Vn, Open",ICD10_PROC,
312093,"Bypass Innom Art to R Low Arm Art w Autol Vn, Open",ICD10_PROC,
312094,"Bypass Innom Art to L Low Arm Art w Autol Vn, Open",ICD10_PROC,
312095,"Bypass Innom Art to Bi Low Arm Art w Autol Vn, Open",ICD10_PROC,
312096,"Bypass Innom Art to R Up Leg Art w Autol Vn, Open",ICD10_PROC,
312097,"Bypass Innom Art to L Up Leg Art w Autol Vn, Open",ICD10_PROC,
312098,"Bypass Innom Art to Bi Up Leg Art w Autol Vn, Open",ICD10_PROC,
312099,"Bypass Innom Art to R Low Leg Art w Autol Vn, Open",ICD10_PROC,
031209B,"Bypass Innom Art to L Low Leg Art w Autol Vn, Open",ICD10_PROC,
031209C,"Bypass Innom Art to Bi Low Leg Art w Autol Vn, Open",ICD10_PROC,
031209D,"Bypass Innom Art to Up Arm Vein with Autol Vn, Open Approach",ICD10_PROC,
031209F,"Bypass Innom Art to Low Arm Vein w Autol Vn, Open",ICD10_PROC,
031209J,"Bypass Innom Art to R Extracran Art w Autol Vn, Open",ICD10_PROC,
031209K,"Bypass Innom Art to L Extracran Art w Autol Vn, Open",ICD10_PROC,
03120A0,"Bypass Innom Art to R Up Arm Art w Autol Art, Open",ICD10_PROC,
03120A1,"Bypass Innom Art to L Up Arm Art w Autol Art, Open",ICD10_PROC,
03120A2,"Bypass Innom Art to Bi Up Arm Art w Autol Art, Open",ICD10_PROC,
03120A3,"Bypass Innom Art to R Low Arm Art w Autol Art, Open",ICD10_PROC,
03120A4,"Bypass Innom Art to L Low Arm Art w Autol Art, Open",ICD10_PROC,
03120A5,"Bypass Innom Art to Bi Low Arm Art w Autol Art, Open",ICD10_PROC,
03120A6,"Bypass Innom Art to R Up Leg Art w Autol Art, Open",ICD10_PROC,
03120A7,"Bypass Innom Art to L Up Leg Art w Autol Art, Open",ICD10_PROC,
03120A8,"Bypass Innom Art to Bi Up Leg Art w Autol Art, Open",ICD10_PROC,
03120A9,"Bypass Innom Art to R Low Leg Art w Autol Art, Open",ICD10_PROC,
03120AB,"Bypass Innom Art to L Low Leg Art w Autol Art, Open",ICD10_PROC,
03120AC,"Bypass Innom Art to Bi Low Leg Art w Autol Art, Open",ICD10_PROC,
03120AD,"Bypass Innom Art to Up Arm Vein w Autol Art, Open",ICD10_PROC,
03120AF,"Bypass Innom Art to Low Arm Vein w Autol Art, Open",ICD10_PROC,
03120AJ,"Bypass Innom Art to R Extracran Art w Autol Art, Open",ICD10_PROC,
